Date,y
5/28/2019,89100
5/28/2019,58300
5/28/2019,55000
5/28/2019,107800
5/28/2019,21450
5/28/2019,68750
5/28/2019,112200
5/28/2019,52800
5/28/2019,67650
5/28/2019,309650
5/28/2019,103950
5/28/2019,66000
5/28/2019,52250
5/28/2019,66000
5/28/2019,79200
5/28/2019,78650
5/28/2019,69300
5/28/2019,43450
5/28/2019,186450
5/28/2019,130900
5/28/2019,94050
5/28/2019,109450
5/28/2019,69300
5/28/2019,44000
5/28/2019,36300
5/28/2019,22000
5/28/2019,56650
5/28/2019,30250
5/28/2019,104500
5/28/2019,12100
5/28/2019,139700
5/28/2019,24200
5/28/2019,179850
5/28/2019,24200
5/28/2019,22000
5/28/2019,149050
5/28/2019,300850
5/28/2019,99000
5/28/2019,184800
5/28/2019,154000
5/28/2019,46750
5/28/2019,116600
5/28/2019,156750
5/28/2019,173250
5/28/2019,69850
5/28/2019,114950
5/28/2019,109450
5/28/2019,140250
5/28/2019,67100
5/29/2019,40700
5/29/2019,76450
5/29/2019,12100
5/29/2019,236500
5/29/2019,78650
5/29/2019,105600
5/29/2019,56650
5/29/2019,130350
5/29/2019,55000
5/29/2019,194700
5/29/2019,118250
5/29/2019,118250
5/29/2019,114400
5/29/2019,130350
5/29/2019,184800
5/29/2019,45100
5/29/2019,22000
5/29/2019,192500
5/29/2019,211750
5/29/2019,178750
5/29/2019,29150
5/29/2019,10450
5/29/2019,125950
5/29/2019,155650
5/29/2019,33000
5/29/2019,48400
5/29/2019,85800
5/29/2019,95700
5/29/2019,127050
5/29/2019,121000
5/29/2019,233750
5/29/2019,113300
5/29/2019,43450
5/29/2019,20900
5/29/2019,84150
5/29/2019,279400
5/29/2019,66550
5/29/2019,31350
5/29/2019,12100
5/29/2019,51700
5/29/2019,42900
5/29/2019,86350
5/29/2019,41800
5/29/2019,50050
5/29/2019,38500
5/29/2019,90750
5/29/2019,151250
5/29/2019,161700
5/29/2019,44000
5/29/2019,61600
5/29/2019,76450
5/29/2019,53900
5/29/2019,93500
5/29/2019,64350
5/29/2019,306350
5/29/2019,180950
5/29/2019,48950
5/29/2019,44000
5/29/2019,102300
5/29/2019,129800
5/29/2019,39600
5/29/2019,89100
5/29/2019,130350
5/29/2019,132550
5/29/2019,117700
5/29/2019,119350
5/29/2019,110000
5/29/2019,78100
5/29/2019,199650
5/29/2019,50600
5/29/2019,91850
5/29/2019,71500
5/29/2019,22000
5/29/2019,28050
5/29/2019,15400
5/29/2019,156200
5/29/2019,289850
5/30/2019,69300
5/30/2019,76450
5/30/2019,61600
5/30/2019,1650
5/30/2019,69850
5/30/2019,83050
5/30/2019,22000
5/30/2019,89100
5/30/2019,355300
5/30/2019,106150
5/30/2019,63800
5/30/2019,99000
5/30/2019,29150
5/30/2019,105600
5/30/2019,188100
5/30/2019,111650
5/30/2019,168300
5/30/2019,30800
5/30/2019,193600
5/30/2019,133650
5/30/2019,118800
5/30/2019,261800
5/30/2019,264000
5/30/2019,182600
5/30/2019,135300
5/30/2019,257400
5/30/2019,503250
5/30/2019,67100
5/30/2019,132000
5/30/2019,35200
5/30/2019,75900
5/30/2019,103400
5/30/2019,44000
5/30/2019,80850
5/30/2019,103950
5/30/2019,672100
5/30/2019,102300
5/30/2019,80850
5/30/2019,195800
5/30/2019,159500
5/30/2019,51150
5/30/2019,49500
5/30/2019,124300
5/30/2019,25850
5/30/2019,70400
5/30/2019,125950
5/30/2019,204600
5/30/2019,285450
5/30/2019,9350
5/30/2019,11000
5/30/2019,43450
5/30/2019,100650
5/30/2019,134200
5/30/2019,146300
5/30/2019,70950
5/30/2019,135850
5/30/2019,94600
5/30/2019,60500
5/30/2019,150150
5/30/2019,88000
5/30/2019,72600
5/30/2019,142450
5/30/2019,66000
5/30/2019,306900
5/30/2019,57750
5/30/2019,144650
5/30/2019,148500
5/30/2019,106150
5/30/2019,142450
5/30/2019,31900
5/30/2019,111650
5/30/2019,218350
5/30/2019,68200
5/30/2019,94050
5/30/2019,49500
5/30/2019,9350
5/30/2019,16500
5/30/2019,21450
5/30/2019,42900
5/30/2019,83050
5/30/2019,24750
5/30/2019,34100
5/30/2019,78100
5/30/2019,9900
5/31/2019,48400
5/31/2019,158400
5/31/2019,719950
5/31/2019,149600
5/31/2019,141900
5/31/2019,48950
5/31/2019,47300
5/31/2019,74800
5/31/2019,226050
5/31/2019,89100
5/31/2019,160050
5/31/2019,113300
5/31/2019,21450
5/31/2019,24750
5/31/2019,123200
5/31/2019,265650
5/31/2019,50600
5/31/2019,124300
5/31/2019,310200
5/31/2019,59950
5/31/2019,103950
5/31/2019,85250
5/31/2019,134750
5/31/2019,94050
5/31/2019,91850
5/31/2019,109450
5/31/2019,194700
5/31/2019,88550
5/31/2019,132550
5/31/2019,66550
5/31/2019,70400
5/31/2019,134750
5/31/2019,48950
5/31/2019,55000
5/31/2019,72600
5/31/2019,24750
5/31/2019,41800
5/31/2019,22000
5/31/2019,63800
5/31/2019,179850
5/31/2019,306350
5/31/2019,199650
5/31/2019,67650
5/31/2019,285450
5/31/2019,108900
5/31/2019,163350
5/31/2019,71500
5/31/2019,57200
5/31/2019,140250
5/31/2019,149600
5/31/2019,113850
5/31/2019,80850
5/31/2019,104500
5/31/2019,147950
5/31/2019,162800
5/31/2019,110550
5/31/2019,165550
5/31/2019,135300
5/31/2019,28050
5/31/2019,63250
5/31/2019,224950
5/31/2019,77550
5/31/2019,83050
5/31/2019,53900
5/31/2019,74250
5/31/2019,46750
5/31/2019,122100
5/31/2019,81950
5/31/2019,128150
5/31/2019,311300
5/31/2019,337150
5/31/2019,127600
5/31/2019,107800
5/31/2019,49500
5/31/2019,124300
5/31/2019,178750
5/31/2019,103400
5/31/2019,60500
5/31/2019,39050
5/31/2019,176550
5/31/2019,36300
5/31/2019,56100
5/31/2019,86350
5/31/2019,1650
5/31/2019,89650
5/31/2019,56100
5/31/2019,13200
5/31/2019,278300
5/31/2019,47300
5/31/2019,51150
5/31/2019,6600
5/31/2019,244750
1/3/2019,52800
1/3/2019,34100
1/3/2019,115500
1/3/2019,39600
1/3/2019,173800
1/3/2019,105050
1/3/2019,129250
1/3/2019,20900
1/3/2019,37950
1/3/2019,476300
1/3/2019,29150
1/3/2019,53350
1/3/2019,47300
1/3/2019,149050
1/3/2019,115500
1/3/2019,95700
1/3/2019,94050
1/3/2019,138600
1/3/2019,36850
1/3/2019,42350
1/3/2019,44550
1/3/2019,99000
1/3/2019,157300
1/3/2019,59400
1/3/2019,218350
1/3/2019,61600
1/3/2019,62150
1/3/2019,155650
1/3/2019,63800
1/3/2019,136400
1/3/2019,135300
1/3/2019,185350
1/3/2019,139150
1/3/2019,23650
1/3/2019,44550
1/3/2019,79750
1/3/2019,8800
1/3/2019,166100
1/3/2019,237600
1/3/2019,113850
1/3/2019,139150
1/3/2019,217800
1/3/2019,138050
1/3/2019,119900
1/3/2019,171050
1/3/2019,34210
1/3/2019,91850
1/3/2019,124850
1/3/2019,53900
1/3/2019,275550
1/3/2019,63800
1/3/2019,86350
1/3/2019,38500
1/3/2019,107250
1/3/2019,44000
1/3/2019,150150
1/3/2019,257950
1/3/2019,42350
1/3/2019,113850
1/3/2019,100650
1/3/2019,63800
1/3/2019,171600
1/3/2019,34100
1/3/2019,80850
1/3/2019,143000
1/3/2019,79750
1/3/2019,122430
1/3/2019,34210
1/3/2019,46200
1/3/2019,145750
1/3/2019,93500
1/3/2019,182600
1/3/2019,122760
1/3/2019,46750
1/3/2019,30800
1/3/2019,87450
1/3/2019,877250
1/3/2019,28050
1/3/2019,58300
1/3/2019,120450
1/3/2019,242000
1/3/2019,216150
1/3/2019,68750
1/3/2019,49500
1/3/2019,122430
1/3/2019,69300
1/3/2019,54450
1/3/2019,8800
1/3/2019,136950
1/3/2019,70950
1/3/2019,142450
1/3/2019,107800
1/3/2019,77000
1/4/2019,106150
1/4/2019,37950
1/4/2019,165000
1/4/2019,410300
1/4/2019,36300
1/4/2019,82500
1/4/2019,248050
1/4/2019,55550
1/4/2019,396550
1/4/2019,35200
1/4/2019,55000
1/4/2019,38500
1/4/2019,61050
1/4/2019,146850
1/4/2019,142560
1/4/2019,39600
1/4/2019,72600
1/4/2019,182600
1/4/2019,38500
1/4/2019,105600
1/4/2019,48950
1/4/2019,90750
1/4/2019,64350
1/4/2019,81400
1/4/2019,19800
1/4/2019,8800
1/4/2019,143000
1/4/2019,107800
1/4/2019,53845
1/4/2019,107800
1/4/2019,84150
1/4/2019,105050
1/4/2019,12100
1/4/2019,62150
1/4/2019,186450
1/4/2019,12100
1/4/2019,151800
1/4/2019,59400
1/4/2019,24200
1/4/2019,90200
1/4/2019,166100
1/4/2019,118800
1/4/2019,101200
1/4/2019,12100
1/4/2019,48400
1/4/2019,107250
1/4/2019,75900
1/4/2019,198000
1/4/2019,69300
1/4/2019,99000
1/4/2019,51700
1/4/2019,325600
1/4/2019,57200
1/4/2019,8800
1/4/2019,64350
1/4/2019,36300
1/4/2019,96250
1/4/2019,85250
1/4/2019,24200
1/4/2019,20350
1/4/2019,96250
1/4/2019,103400
1/4/2019,127600
1/4/2019,165550
1/4/2019,36850
1/4/2019,98450
1/4/2019,39600
1/4/2019,95700
1/4/2019,165550
1/4/2019,110550
1/4/2019,78650
1/4/2019,48950
1/4/2019,256300
1/4/2019,79200
1/4/2019,98450
1/4/2019,35750
1/4/2019,108350
1/5/2019,60500
1/5/2019,12100
1/5/2019,54450
1/5/2019,75900
1/5/2019,146190
1/5/2019,91300
1/5/2019,176550
1/5/2019,83050
1/5/2019,86900
1/5/2019,54450
1/5/2019,120450
1/5/2019,92950
1/5/2019,39600
1/5/2019,133320
1/5/2019,30800
1/5/2019,55000
1/5/2019,226050
1/5/2019,134420
1/5/2019,178200
1/5/2019,51590
1/5/2019,97350
1/5/2019,85800
1/5/2019,224400
1/5/2019,53350
1/5/2019,51590
1/5/2019,129360
1/5/2019,192280
1/5/2019,282700
1/5/2019,190300
1/5/2019,144650
1/5/2019,103950
1/5/2019,272800
1/5/2019,47300
1/5/2019,139700
1/5/2019,8800
1/5/2019,23650
1/5/2019,131450
1/5/2019,147400
1/5/2019,52030
1/5/2019,127050
1/5/2019,330000
1/5/2019,123200
1/5/2019,121550
1/5/2019,196900
1/5/2019,33000
1/5/2019,55000
1/5/2019,92950
1/5/2019,95700
1/5/2019,8800
1/5/2019,34100
1/5/2019,94050
1/5/2019,147400
1/5/2019,41250
1/5/2019,480700
1/5/2019,176000
1/5/2019,180400
1/5/2019,44550
1/5/2019,101200
1/5/2019,64350
1/5/2019,45650
1/5/2019,36850
1/5/2019,86900
1/5/2019,45650
1/5/2019,23100
1/5/2019,15950
1/5/2019,132550
1/5/2019,23650
1/6/2019,46200
1/6/2019,36300
1/6/2019,90200
1/6/2019,12100
1/6/2019,72050
1/6/2019,110000
1/6/2019,102850
1/6/2019,129250
1/6/2019,136400
1/6/2019,57750
1/6/2019,78650
1/6/2019,229350
1/6/2019,28600
1/6/2019,311850
1/6/2019,46750
1/6/2019,181610
1/6/2019,90750
1/6/2019,11000
1/6/2019,62150
1/6/2019,90750
1/6/2019,46200
1/6/2019,64900
1/6/2019,46200
1/6/2019,160600
1/6/2019,137500
1/6/2019,59400
1/6/2019,67100
1/6/2019,22000
1/6/2019,83050
1/6/2019,185900
1/6/2019,139150
1/6/2019,231000
1/6/2019,43450
1/6/2019,124300
1/6/2019,13200
1/6/2019,34870
1/6/2019,60500
1/6/2019,219450
1/6/2019,83050
1/6/2019,90750
1/6/2019,184800
1/6/2019,127600
1/6/2019,109450
1/6/2019,173800
1/6/2019,29150
1/6/2019,189200
1/6/2019,82500
1/6/2019,91300
1/6/2019,405900
1/6/2019,163350
1/6/2019,57200
1/6/2019,119350
1/6/2019,69850
1/6/2019,288200
1/6/2019,16500
1/6/2019,20350
1/6/2019,122100
1/6/2019,36850
1/6/2019,113850
1/6/2019,176000
1/6/2019,62150
1/6/2019,19250
1/6/2019,649550
1/6/2019,72050
1/6/2019,312400
1/6/2019,62150
1/6/2019,113300
1/6/2019,132000
1/6/2019,108900
1/7/2019,61600
1/7/2019,44000
1/7/2019,122430
1/7/2019,107250
1/7/2019,170500
1/7/2019,119900
1/7/2019,96525
1/7/2019,160050
1/7/2019,57200
1/7/2019,369600
1/7/2019,186450
1/7/2019,211750
1/7/2019,130900
1/7/2019,112200
1/7/2019,238150
1/7/2019,84150
1/7/2019,92950
1/7/2019,238700
1/7/2019,86350
1/7/2019,58300
1/7/2019,81785
1/7/2019,101200
1/7/2019,121550
1/7/2019,256850
1/7/2019,25300
1/7/2019,156200
1/7/2019,47300
1/7/2019,87450
1/7/2019,56650
1/7/2019,22000
1/7/2019,19250
1/7/2019,45650
1/7/2019,180400
1/7/2019,60500
1/7/2019,101200
1/7/2019,75900
1/7/2019,39050
1/7/2019,411400
1/7/2019,125950
1/7/2019,75900
1/7/2019,96250
1/7/2019,90750
1/7/2019,133650
1/7/2019,23650
1/7/2019,56100
1/7/2019,38500
1/7/2019,79200
1/7/2019,174350
1/7/2019,54450
1/7/2019,92950
1/7/2019,43450
1/7/2019,100100
1/7/2019,149050
1/7/2019,41250
1/7/2019,19800
1/7/2019,22000
1/7/2019,53900
1/7/2019,75900
1/7/2019,150700
1/7/2019,100100
1/7/2019,210650
1/7/2019,413050
1/7/2019,110000
1/7/2019,42350
1/7/2019,37400
1/7/2019,22000
1/7/2019,129250
1/7/2019,60500
1/7/2019,168300
1/7/2019,1006500
1/7/2019,61600
1/7/2019,216150
1/7/2019,15950
1/8/2019,216700
1/8/2019,41800
1/8/2019,46750
1/8/2019,92950
1/8/2019,194150
1/8/2019,102300
1/8/2019,116600
1/8/2019,56650
1/8/2019,53900
1/8/2019,19800
1/8/2019,114950
1/8/2019,63800
1/8/2019,125400
1/8/2019,85800
1/8/2019,222750
1/8/2019,141900
1/8/2019,19250
1/8/2019,113300
1/8/2019,133100
1/8/2019,41800
1/8/2019,45650
1/8/2019,36300
1/8/2019,263450
1/8/2019,97350
1/8/2019,25300
1/8/2019,68200
1/8/2019,177650
1/8/2019,78100
1/8/2019,22000
1/8/2019,557150
1/8/2019,116050
